0,0,1,3,3,1,0,0,1,0,0,1,1,1
0,1,1,3,3,1,1,1,1,0,0,1,0,0
0,2,1,3,3,1,1,1,0,0,1,0,0,1
0,3,1,3,3,0,0,1,0,0,1,1,1,1
0,4,3,3,1,0,0,1,0,0,1,1,1,1
0,5,3,1,3,1,0,0,1,0,0,1,1,1
0,6,3,3,1,1,0,0,1,0,0,1,1,1
0,7,3,1,3,0,0,1,0,0,1,1,1,1
0,8,3,3,1,1,1,1,0,0,1,0,0,1
0,9,3,1,3,1,1,1,1,0,0,1,0,0
0,10,3,3,1,1,1,1,1,0,0,1,0,0
0,11,3,1,3,1,1,1,0,0,1,0,0,1
1,0,1,3,2,1,1,1,1,1,0
1,1,1,2,3,1,1,1,0,1,1
1,2,1,3,2,0,1,1,1,1,1
1,3,1,2,3,1,1,0,1,1,1
1,4,2,3,1,1,1,0,1,1,1
1,5,2,1,3,0,1,1,1,1,1
1,6,2,3,1,0,1,1,1,1,1
1,7,2,1,3,1,1,0,1,1,1
1,8,1,3,2,1,1,1,1,0,1
1,9,1,2,3,0,1,1,1,1,1
1,10,1,3,2,1,0,1,1,1,1
1,11,1,2,3,1,1,1,1,1,0
1,12,2,3,1,1,1,1,1,1,0
1,13,2,1,3,1,1,1,0,1,1
1,14,2,3,1,1,1,1,0,1,1
1,15,2,1,3,1,1,1,1,1,0
1,16,3,2,1,1,1,1,1,1,0
1,17,3,1,2,1,1,1,1,0,1
1,18,3,2,1,1,1,1,1,0,1
1,19,3,1,2,1,1,1,1,1,0
1,20,3,2,1,1,0,1,1,1,1
1,21,3,1,2,0,1,1,1,1,1
1,22,3,2,1,0,1,1,1,1,1
1,23,3,1,2,1,0,1,1,1,1
2,0,1,3,3,1,1,1,0,1,0,0,1,0
2,1,1,3,3,0,0,1,1,1,1,0,0,1
2,2,1,3,3,0,1,0,0,1,0,1,1,1
2,3,1,3,3,1,0,0,1,1,1,1,0,0
2,4,3,3,1,1,0,0,1,1,1,1,0,0
2,5,3,1,3,0,0,1,1,1,1,0,0,1
2,6,3,3,1,0,0,1,1,1,1,0,0,1
2,7,3,1,3,1,0,0,1,1,1,1,0,0
2,8,3,3,1,1,1,1,0,1,0,0,1,0
2,9,3,1,3,1,1,1,0,1,0,0,1,0
2,10,3,3,1,0,1,0,0,1,0,1,1,1
2,11,3,1,3,0,1,0,0,1,0,1,1,1
3,0,1,1,2,1,1
3,1,1,2,1,1,1
3,2,2,1,1,1,1
4,0,1,2,2,1,1,1,1
4,1,2,2,1,1,1,1,1
4,2,2,1,2,1,1,1,1
5,0,1,3,2,1,1,1,1,1,1
5,1,1,2,3,1,1,1,1,1,1
5,2,2,3,1,1,1,1,1,1,1
5,3,2,1,3,1,1,1,1,1,1
5,4,3,2,1,1,1,1,1,1,1
5,5,3,1,2,1,1,1,1,1,1
